Citra,x,y,Kelas,Kelas_Prediksi,Keyakinan,Cocok
Gambar 1,5.203507,97.108763,Rusak Berat,Rusak Berat,0.67572606,True
Gambar 2,5.203184,97.109209,Rusak Berat,Rusak Berat,0.51059484,True
Gambar 3,5.202934,97.109566,Rusak Berat,Rusak Berat,0.6823781,True
Gambar 4,5.202933,97.10961,Sedang,Sedang,0.97900164,True
Gambar 5,5.202742,97.109913,Sedang,Sedang,0.8316921,True
Gambar 6,5.202614,97.110156,Sedang,Sedang,0.3833725,True
Gambar 7,5.202007,97.110687,Baik,Baik,0.79290926,True
Gambar 8,5.20275,97.112101,Rusak Berat,Rusak Berat,0.57473,True
Gambar 9,5.202726,97.112111,Rusak Ringan,Rusak Ringan,0.8371801,True
Gambar 10,5.203653,97.112901,Rusak Ringan,Sedang,0.5434242,False
Gambar 11,5.205149,97.114125,Rusak Ringan,Rusak Ringan,0.4382444,True
Gambar 12,5.205303,97.114125,Rusak Berat,Rusak Berat,0.96868414,True
Gambar 13,5.206987,97.113701,Rusak Ringan,Rusak Ringan,0.57437205,True
Gambar 14,5.207553,97.113669,Sedang,Rusak Ringan,0.5358241,False
Gambar 15,5.210376,97.112844,Sedang,Sedang,0.9496113,True
Gambar 16,5.211339,97.113156,Rusak Ringan,Rusak Ringan,0.58123326,True
Gambar 17,5.212708,97.114984,Sedang,Sedang,0.8439284,True
Gambar 18,5.212997,97.116398,Sedang,Sedang,0.9697558,True
Gambar 19,5.212094,97.117785,Rusak Ringan,Rusak Ringan,0.5901937,True
Gambar 20,5.208711,97.124134,Rusak Berat,Rusak Berat,0.8995141,True
Gambar 21,5.208057,97.125524,Sedang,Sedang,0.8866989,True
Gambar 22,5.206373,97.12878,Sedang,Sedang,0.58167183,True
Gambar 23,5.205058,97.130829,Sedang,Sedang,0.6986547,True
Gambar 24,5.203992,97.133226,Sedang,Sedang,0.54656506,True
Gambar 25,5.201901,97.12783,Rusak Ringan,Rusak Ringan,0.76791126,True
Gambar 26,5.200744,97.14022,Baik,Baik,0.71106666,True
Gambar 27,5.198167,97.143207,Sedang,Sedang,0.94934285,True
Gambar 28,5.175114,97.14682,Rusak Berat,Rusak Berat,0.9080025,True
Gambar 29,5.17793,97.143971,Sedang,Sedang,0.85223466,True
Gambar 30,5.174092,97.12931,Sedang,Sedang,0.9697341,True
Gambar 31,5.174093,97.128804,Rusak Ringan,Rusak Ringan,0.5105895,True
Gambar 32,5.175929,97.12722,Rusak Berat,Rusak Berat,0.95987964,True
Gambar 33,5.193525,97.116067,Sedang,Rusak Berat,0.7385205,False
Gambar 34,5.195717,97.114728,Rusak Ringan,Rusak Ringan,0.87182057,True
Gambar 35,5.196258,97.114511,Rusak Berat,Rusak Berat,0.96684587,True
Gambar 36,5.197226,97.113733,Rusak Berat,Rusak Berat,0.5735176,True
Gambar 37,5.199138,97.112572,Sedang,Rusak Ringan,0.51728195,False
Gambar 38,5.200166,97.111884,Rusak Ringan,Rusak Ringan,0.5491664,True
Gambar 39,5.20131,97.111155,Sedang,Rusak Ringan,0.50144506,False
Gambar 40,5.213349,97.097792,Rusak Berat,Rusak Berat,0.70474064,True
Gambar 41,5.214098,97.096926,Sedang,Sedang,0.44477,True
Gambar 42,5.214884,97.094953,Rusak Ringan,Rusak Ringan,0.80737925,True
Gambar 43,5.215106,97.093748,Baik,Baik,0.6409732,True
Gambar 44,5.214961,97.09192,Rusak Ringan,Rusak Ringan,0.8641042,True
Gambar 45,5.214654,97.090656,Sedang,Sedang,0.76584345,True
Gambar 46,5.21377,97.088998,Rusak Ringan,Rusak Ringan,0.54251564,True
Gambar 47,5.210935,97.084608,Rusak Ringan,Sedang,0.51019096,False
Gambar 48,5.210323,97.081761,Rusak Ringan,Rusak Ringan,0.6239242,True
Gambar 49,5.209174,97.076569,Rusak Berat,Rusak Berat,0.72210795,True
Gambar 50,5.209371,97.075629,Sedang,Sedang,0.7136219,True
Gambar 51,5.209922,97.073829,Baik,Baik,0.853279,True
Gambar 52,5.210757,97.070674,Rusak Ringan,Rusak Ringan,0.85286117,True
Gambar 53,5.215717,97.077601,Rusak Ringan,Rusak Ringan,0.7520316,True
Gambar 54,5.213399,97.07772,Rusak Ringan,Rusak Ringan,0.8877626,True
Gambar 55,5.220091,97.068529,Rusak Ringan,Rusak Ringan,0.90955365,True
Gambar 56,5.229867,97.064292,Rusak Ringan,Rusak Ringan,0.808072,True
Gambar 57,5.230071,97.063807,Rusak Ringan,Rusak Ringan,0.88415647,True
Gambar 58,5.230528,97.062677,Rusak Berat,Rusak Berat,0.7419561,True
Gambar 59,5.230834,97.062124,Rusak Ringan,Rusak Ringan,0.84943867,True
Gambar 60,5.230988,97.06193,Rusak Ringan,Rusak Ringan,0.7517231,True
Gambar 61,5.231213,97.060969,Rusak Ringan,Rusak Ringan,0.9258504,True
Gambar 62,5.231179,97.060648,Rusak Ringan,Rusak Ringan,0.8789559,True
Gambar 63,5.23197,97.059142,Sedang,Sedang,0.6757154,True
Gambar 64,5.227429,97.037626,Rusak Ringan,Rusak Ringan,0.9282099,True
Gambar 65,5.225558,97.037354,Rusak Berat,Rusak Berat,0.8236769,True
Gambar 66,5.213645,97.039135,Sedang,Sedang,0.93591976,True
Gambar 67,5.229064,97.039478,Rusak Ringan,Sedang,0.57875645,False
Gambar 68,5.232027,97.040156,Rusak Ringan,Rusak Ringan,0.791971,True
Gambar 69,5.234259,97.041683,Rusak Ringan,Rusak Ringan,0.7529973,True
Gambar 70,5.237123,97.043352,Sedang,Sedang,0.91984266,True
Gambar 71,5.239207,97.045044,Baik,Baik,0.46807203,True
Gambar 72,5.204129,97.077877,Rusak Ringan,Rusak Ringan,0.52000713,True
Gambar 73,5.20116,97.076317,Rusak Ringan,Rusak Ringan,0.70807666,True
Gambar 74,5.200678,97.076128,Rusak Berat,Rusak Berat,0.9301984,True
Gambar 75,5.198422,97.075429,Rusak Ringan,Rusak Ringan,0.7830138,True
Gambar 76,5.197933,97.075422,Rusak Ringan,Rusak Ringan,0.75549877,True
Gambar 77,5.197064,97.07607,Rusak Berat,Rusak Berat,0.93324345,True
Gambar 78,5.196616,97.075935,Rusak Ringan,Rusak Ringan,0.77629685,True
Gambar 79,5.195543,97.074977,Baik,Baik,0.5654507,True
Gambar 80,5.194833,97.074462,Rusak Ringan,Rusak Ringan,0.9028588,True
Gambar 81,5.194254,97.074155,Rusak Ringan,Rusak Ringan,0.9272065,True
Gambar 82,5.194122,97.073937,Rusak Ringan,Rusak Ringan,0.84683424,True
Gambar 83,5.193571,97.072332,Rusak Ringan,Rusak Ringan,0.6134848,True
Gambar 84,5.19281,97.070197,Rusak Ringan,Rusak Ringan,0.895632,True
Gambar 85,5.192558,97.068592,Rusak Ringan,Rusak Ringan,0.80148476,True
Gambar 86,5.192147,97.068162,Rusak Ringan,Rusak Ringan,0.8919818,True
Gambar 87,5.191942,97.067604,Rusak Ringan,Rusak Ringan,0.80997866,True
Gambar 88,5.191671,97.06657,Rusak Ringan,Rusak Ringan,0.7578418,True
Gambar 89,5.19057,97.064664,Sedang,Sedang,0.68556213,True
